x,y,z
[0.62226293 1.28180729 2.9018113  2.183363   3.24313432 4.81969315
 6.76055696],[0.5803148  1.46419831 1.83746315 4.4506311  3.56299604 0.6503771
 6.30389459],[0.70967989 2.15328482 2.53916973 2.05117685 3.9861652  3.09127459
 4.07976419]
[0.62226293 1.28180729 2.9018113  2.183363   3.24313432 4.81969315
 6.76055696],[0.5803148  1.46419831 1.83746315 4.4506311  3.56299604 0.6503771
 6.30389459],[0.70967989 2.15328482 2.53916973 2.05117685 3.9861652  3.09127459
 4.07976419]
[0.62226293 1.28180729 2.9018113  2.183363   3.24313432 4.81969315
 6.76055696],[0.5803148  1.46419831 1.83746315 4.4506311  3.56299604 0.6503771
 6.30389459],[0.70967989 2.15328482 2.53916973 2.05117685 3.9861652  3.09127459
 4.07976419]
[0.62226293 1.28180729 2.9018113  2.183363   3.24313432 4.81969315
 6.76055696],[0.5803148  1.46419831 1.83746315 4.4506311  3.56299604 0.6503771
 6.30389459],[0.70967989 2.15328482 2.53916973 2.05117685 3.9861652  3.09127459
 4.07976419]
[0.62226293 1.28180729 2.9018113  2.183363   3.24313432 4.81969315
 6.76055696],[0.5803148  1.46419831 1.83746315 4.4506311  3.56299604 0.6503771
 6.30389459],[0.70967989 2.15328482 2.53916973 2.05117685 3.9861652  3.09127459
 4.07976419]
[0.62226293 1.28180729 2.9018113  2.183363   3.24313432 4.81969315
 6.76055696],[0.5803148  1.46419831 1.83746315 4.4506311  3.56299604 0.6503771
 6.30389459],[0.70967989 2.15328482 2.53916973 2.05117685 3.9861652  3.09127459
 4.07976419]
[0.62226293 1.28180729 2.9018113  2.183363   3.24313432 4.81969315
 6.76055696],[0.5803148  1.46419831 1.83746315 4.4506311  3.56299604 0.6503771
 6.30389459],[0.70967989 2.15328482 2.53916973 2.05117685 3.9861652  3.09127459
 4.07976419]
[0.62243857 1.28210229 2.90188022 2.18412466 3.24339746 4.82034921
 6.76092745],[0.581272   1.46465795 1.83831433 4.45127192 3.56338008 0.6511379
 6.30480492],[0.71036891 2.15408532 2.54007708 2.05152176 3.98663836 3.09137795
 4.08030898]
[0.62261558 1.28240125 2.9019445  2.18488661 3.24366024 4.82100469
 6.76129793],[0.58223097 1.46511716 1.83916472 4.45191226 3.56376369 0.65189908
 6.30571526],[0.71106082 2.15488425 2.54098375 2.05186716 3.98711054 3.09148115
 4.08085376]
[0.62279394 1.28270418 2.90200415 2.18564883 3.24392265 4.82165958
 6.7616684 ],[0.58319171 1.46557593 1.8400143  4.4525521  3.56414688 0.65266064
 6.30662558],[0.71175562 2.15568159 2.54188973 2.05221305 3.98758177 3.09158421
 4.08139855]
[0.62297366 1.28301106 2.90205916 2.18641133 3.24418471 4.82231389
 6.76203886],[0.58415423 1.46603427 1.84086307 4.45319147 3.56452964 0.65342257
 6.3075359 ],[0.71245331 2.15647736 2.54279504 2.05255943 3.98805202 3.09168711
 4.08194333]
[0.62315474 1.28332191 2.90210952 2.1871741  3.2444464  4.8229676
 6.76240932],[0.58511852 1.46649217 1.84171105 4.45383034 3.56491198 0.65418489
 6.30844622],[0.7131539  2.15727155 2.54369966 2.05290629 3.98852131 3.09178986
 4.08248812]
[0.62333718 1.28363671 2.90215524 2.18793715 3.24470773 4.82362074
 6.76277976],[0.58608459 1.46694963 1.84255823 4.45446873 3.56529389 0.65494759
 6.30935652],[0.71385738 2.15806416 2.5446036  2.05325365 3.98898963 3.09189246
 4.0830329 ]
[0.62352099 1.28395549 2.90219631 2.18870047 3.24496869 4.82427328
 6.7631502 ],[0.58705244 1.46740667 1.8434046  4.45510664 3.56567537 0.65571066
 6.31026683],[0.71456376 2.15885518 2.54550685 2.0536015  3.98945698 3.09199491
 4.08357768]
[0.62370615 1.28427823 2.90223273 2.18946408 3.2452293  4.82492525
 6.76352064],[0.58802205 1.46786328 1.84425017 4.45574405 3.56605643 0.65647411
 6.31117712],[0.71527304 2.15964463 2.54640942 2.05394983 3.98992335 3.09209721
 4.08412246]
[0.62389269 1.28460494 2.9022645  2.19022795 3.24548953 4.82557662
 6.76389106],[0.58899345 1.46831947 1.84509493 4.45638098 3.56643705 0.65723794
 6.31208741],[0.71598522 2.16043249 2.54731131 2.05429866 3.99038876 3.09219936
 4.08466723]
[0.62408058 1.28493563 2.90229161 2.19099211 3.24574941 4.82622742
 6.76426148],[0.58996662 1.46877523 1.84593889 4.45701743 3.56681725 0.65800215
 6.31299769],[0.7167003  2.16121877 2.54821251 2.05464798 3.99085319 3.09230136
 4.08521201]
[0.62426985 1.28527028 2.90231406 2.19175654 3.24600892 4.82687763
 6.76463188],[0.59094156 1.46923057 1.84678205 4.45765338 3.56719701 0.65876673
 6.31390797],[0.71741829 2.16200347 2.54911302 2.05499779 3.99131665 3.09240321
 4.08575678]
[0.62446048 1.28560892 2.90233185 2.19252124 3.24626807 4.82752726
 6.76500228],[0.59191828 1.46968549 1.8476244  4.45828885 3.56757634 0.65953169
 6.31481824],[0.71813918 2.16278658 2.55001284 2.05534808 3.99177913 3.09250491
 4.08630156]
[0.62465248 1.28595152 2.90234497 2.19328622 3.24652685 4.8281763
 6.76537268],[0.59289677 1.47013999 1.84846594 4.45892383 3.56795524 0.66029703
 6.3157285 ],[0.71886298 2.16356811 2.55091197 2.05569887 3.99224064 3.09260646
 4.08684633]
[0.62484585 1.28629811 2.90235341 2.19405148 3.24678527 4.82882477
 6.76574306],[0.59387704 1.47059408 1.84930668 4.45955832 3.5683337  0.66106274
 6.31663876],[0.71958969 2.16434805 2.55181041 2.05605015 3.99270117 3.09270787
 4.0873911 ]
[0.62504059 1.28664869 2.90235719 2.19481701 3.24704332 4.82947265
 6.76611344],[0.59485909 1.47104775 1.85014661 4.46019233 3.56871172 0.66182883
 6.31754901],[0.72031931 2.16512641 2.55270816 2.05640192 3.99316073 3.09280913
 4.08793587]
[0.6252367  1.28700324 2.90235628 2.19558281 3.24730101 4.83011995
 6.76648381],[0.59584291 1.47150102 1.85098573 4.46082584 3.56908931 0.66259529
 6.31845925],[0.72105185 2.16590318 2.55360521 2.05675419 3.9936193  3.09291024
 4.08848064]
[0.62543419 1.28736179 2.90235069 2.1963489  3.24755833 4.83076667
 6.76685417],[0.5968285  1.47195388 1.85182404 4.46145887 3.56946647 0.66336212
 6.31936949],[0.7217873  2.16667837 2.55450157 2.05710694 3.9940769  3.09301121
 4.08902541]
[0.62563305 1.28772433 2.90234041 2.19711525 3.24781529 4.83141282
 6.76722452],[0.59781587 1.47240633 1.85266154 4.46209141 3.56984318 0.66412933
 6.32027972],[0.72252567 2.16745197 2.55539724 2.05746019 3.99453351 3.09311203
 4.08957017]
[0.62583329 1.28809086 2.90232543 2.19788188 3.24807188 4.83205838
 6.76759486],[0.59880502 1.47285838 1.85349823 4.46272346 3.57021945 0.66489691
 6.32118995],[0.72326697 2.16822398 2.55629221 2.05781392 3.99498914 3.09321271
 4.09011494]
[0.6260349  1.2884614  2.90230576 2.19864879 3.24832811 4.83270336
 6.7679652 ],[0.59979595 1.47331002 1.85433411 4.46335503 3.57059529 0.66566487
 6.32210017],[0.72401118 2.16899441 2.55718647 2.05816815 3.99544379 3.09331324
 4.0906597 ]
[0.6262379  1.28883593 2.90228139 2.19941597 3.24858396 4.83334777
 6.76833553],[0.60078865 1.47376127 1.85516917 4.4639861  3.57097068 0.66643319
 6.32301038],[0.72475832 2.16976325 2.55808004 2.05852288 3.99589746 3.09341363
 4.09120447]
[0.62644227 1.28921447 2.90225231 2.20018343 3.24883946 4.8339916
