x,y,z
[0.75139712 1.17718702 2.68720575],[0.95072499 1.12742551 2.69497185],[0.6974992  2.14829798 0.95541566]
[0.75195975 1.17725263 2.68723489],[0.95150683 1.12753779 2.69576398],[0.69885557 2.14780388 0.95640056]
[0.75252588 1.17731522 2.68726357],[0.95229021 1.12764896 2.69655565],[0.70022316 2.14729839 0.95738564]
[0.75309553 1.17737473 2.68729178],[0.95307516 1.12775902 2.69734687],[0.70160207 2.1467814  0.95837088]
[0.75366874 1.17743116 2.68731953],[0.95386167 1.12786797 2.69813765],[0.70299241 2.14625282 0.95935629]
[0.75424554 1.17748446 2.68734682],[0.95464976 1.1279758  2.69892797],[0.70439426 2.14571256 0.96034187]
[0.75482595 1.17753461 2.68737365],[0.95543943 1.12808249 2.69971784],[0.70580774 2.14516049 0.96132762]
[0.75541    1.17758157 2.68740002],[0.95623069 1.12818804 2.70050725],[0.70723295 2.14459653 0.96231354]
[0.75599774 1.17762532 2.68742592],[0.95702356 1.12829245 2.70129622],[0.70866999 2.14402057 0.96329963]
[0.75658919 1.17766582 2.68745135],[0.95781804 1.12839569 2.70208473],[0.71011898 2.14343249 0.96428589]
[0.75718438 1.17770304 2.68747633],[0.95861415 1.12849776 2.70287278],[0.71158002 2.14283219 0.96527232]
[0.75778335 1.17773694 2.68750084],[0.95941189 1.12859866 2.70366038],[0.71305324 2.14221954 0.96625892]
[0.75838614 1.1777675  2.68752488],[0.96021127 1.12869837 2.70444752],[0.71453874 2.14159444 0.96724569]
[0.75899278 1.17779467 2.68754846],[0.9610123  1.12879689 2.70523421],[0.71603664 2.14095677 0.96823262]
[0.7596033  1.17781842 2.68757157],[0.961815   1.1288942  2.70602044],[0.71754708 2.1403064  0.96921973]
[0.76021775 1.17783872 2.68759421],[0.96261937 1.12899029 2.70680621],[0.71907016 2.1396432  0.97020701]
[0.76083616 1.17785552 2.68761639],[0.96342543 1.12908515 2.70759152],[0.72060603 2.13896706 0.97119445]
[0.76145856 1.17786879 2.68763809],[0.96423318 1.12917877 2.70837637],[0.7221548  2.13827784 0.97218207]
[0.76208501 1.17787849 2.68765933],[0.96504265 1.12927115 2.70916077],[0.72371661 2.13757541 0.97316985]
[0.76271555 1.17788457 2.6876801 ],[0.96585383 1.12936226 2.7099447 ],[0.72529161 2.13685963 0.97415781]
[0.7633502 1.177887  2.6877004],[0.96666675 1.12945211 2.71072817],[0.72687992 2.13613037 0.97514593]
[0.76398902 1.17788574 2.68772023],[0.96748142 1.12954067 2.71151118],[0.72848169 2.13538747 0.97613422]
[0.76463205 1.17788074 2.68773959],[0.96829785 1.12962793 2.71229372],[0.73009706 2.13463081 0.97712268]
[0.76527933 1.17787196 2.68775848],[0.96911604 1.12971389 2.7130758 ],[0.73172619 2.13386022 0.97811131]
[0.76593091 1.17785935 2.68777689],[0.96993602 1.12979853 2.71385742],[0.73336922 2.13307556 0.97910011]
[0.76658684 1.17784286 2.68779484],[0.9707578  1.12988183 2.71463857],[0.73502631 2.13227666 0.98008908]
